[05:48:03] ==== 송파구 매물 수집 시작 ====
[05:53:28] 11710108 offset=220 → 20개 (누적 240)
[05:53:30] 11710108 offset=240 → 20개 (누적 260)
[05:53:31] 11710108 offset=260 → 3개 (누적 263)
[05:53:31] 
📍 11710109 수집 시작
[05:53:32] 11710109 전체 매물: 180
[05:53:32] 11710109 offset=0 → 20개 (누적 20)
[05:53:33] 11710109 offset=20 → 20개 (누적 40)
[05:53:35] 11710109 offset=40 → 20개 (누적 60)
[05:53:36] 11710109 offset=60 → 20개 (누적 80)
[05:53:38] 11710109 offset=80 → 20개 (누적 100)
[05:53:39] 11710109 offset=100 → 20개 (누적 120)
[05:53:41] 11710109 offset=120 → 20개 (누적 140)
[05:53:43] 11710109 offset=140 → 20개 (누적 160)
[05:53:44] 11710109 offset=160 → 20개 (누적 180)
[05:53:46] 
📍 11710110 수집 시작
[05:53:46] 11710110 전체 매물: 0
[05:53:46] 
📍 11710111 수집 시작
[05:53:46] 11710111 전체 매물: 822
[05:53:46] 11710111 offset=0 → 20개 (누적 20)
[05:53:48] 11710111 offset=20 → 20개 (누적 40)
[05:53:49] 11710111 offset=40 → 20개 (누적 60)
[05:53:51] 11710111 offset=60 → 20개 (누적 80)
[05:53:53] 11710111 offset=80 → 20개 (누적 100)
[05:53:54] 11710111 offset=100 → 20개 (누적 120)
[05:53:56] 11710111 offset=120 → 20개 (누적 140)
[05:53:58] 11710111 offset=140 → 20개 (누적 160)
[05:53:59] 11710111 offset=160 → 20개 (누적 180)
[05:54:01] 11710111 offset=180 → 20개 (누적 200)
[05:54:03] 11710111 offset=200 → 20개 (누적 220)
[05:54:04] 11710111 offset=220 → 20개 (누적 240)
[05:54:06] 11710111 offset=240 → 20개 (누적 260)
[05:54:07] 11710111 offset=260 → 20개 (누적 280)
[05:54:09] 11710111 offset=280 → 20개 (누적 300)
[05:54:11] 11710111 offset=300 → 20개 (누적 320)
[05:54:12] 11710111 offset=320 → 20개 (누적 340)
[05:54:14] 11710111 offset=340 → 20개 (누적 360)
[05:54:15] 11710111 offset=360 → 20개 (누적 380)
[05:54:17] 11710111 offset=380 → 20개 (누적 400)
[05:54:18] 11710111 offset=400 → 20개 (누적 420)
[05:54:20] 11710111 offset=420 → 20개 (누적 440)
[05:54:22] 11710111 offset=440 → 20개 (누적 460)
[05:54:23] 11710111 offset=460 → 20개 (누적 480)
[05:54:25] 11710111 offset=480 → 20개 (누적 500)
[05:54:27] 11710111 offset=500 → 20개 (누적 520)
[05:54:28] 11710111 offset=520 → 20개 (누적 540)
[05:54:30] 11710111 offset=540 → 20개 (누적 560)
[05:54:31] 11710111 offset=560 → 20개 (누적 580)
[05:54:33] 11710111 offset=580 → 20개 (누적 600)
[05:54:35] 11710111 offset=600 → 20개 (누적 620)
[05:54:36] 11710111 offset=620 → 20개 (누적 640)
[05:54:38] 11710111 offset=640 → 20개 (누적 660)
[05:54:39] 11710111 offset=660 → 20개 (누적 680)
[05:54:41] 11710111 offset=680 → 20개 (누적 700)
[05:54:43] 11710111 offset=700 → 20개 (누적 720)
[05:54:44] 11710111 offset=720 → 20개 (누적 740)
[05:54:46] 11710111 offset=740 → 20개 (누적 760)
[05:54:47] 11710111 offset=760 → 20개 (누적 780)
[05:54:49] 11710111 offset=780 → 20개 (누적 800)
[05:54:51] 11710111 offset=800 → 20개 (누적 820)
[05:54:52] 11710111 offset=820 → 2개 (누적 822)
[05:54:52] 
📍 11710112 수집 시작
[05:54:52] 11710112 전체 매물: 262
[05:54:52] 11710112 offset=0 → 20개 (누적 20)
[05:54:54] 11710112 offset=20 → 20개 (누적 40)
[05:54:55] 11710112 offset=40 → 20개 (누적 60)
[05:54:56] 11710112 offset=60 → 20개 (누적 80)
[05:54:58] 11710112 offset=80 → 20개 (누적 100)
[05:55:00] 11710112 offset=100 → 20개 (누적 120)
[05:55:01] 11710112 offset=120 → 20개 (누적 140)
[05:55:03] 11710112 offset=140 → 20개 (누적 160)
[05:55:04] 11710112 offset=160 → 20개 (누적 180)
[05:55:06] 11710112 offset=180 → 20개 (누적 200)
[05:55:07] 11710112 offset=200 → 20개 (누적 220)
[05:55:09] 11710112 offset=220 → 20개 (누적 240)
[05:55:11] 11710112 offset=240 → 20개 (누적 260)
[05:55:12] 11710112 offset=260 → 2개 (누적 262)
[05:55:12] 
📍 11710113 수집 시작
[05:55:13] 11710113 전체 매물: 350
[05:55:13] 11710113 offset=0 → 20개 (누적 20)
[05:55:14] 11710113 offset=20 → 20개 (누적 40)
[05:55:15] 11710113 offset=40 → 20개 (누적 60)
[05:55:17] 11710113 offset=60 → 20개 (누적 80)
[05:55:18] 11710113 offset=80 → 20개 (누적 100)
[05:55:20] 11710113 offset=100 → 20개 (누적 120)
[05:55:21] 11710113 offset=120 → 20개 (누적 140)
[05:55:23] 11710113 offset=140 → 20개 (누적 160)
[05:55:24] 11710113 offset=160 → 20개 (누적 180)
[05:55:26] 11710113 offset=180 → 20개 (누적 200)
[05:55:27] 11710113 offset=200 → 20개 (누적 220)
[05:55:29] 11710113 offset=220 → 20개 (누적 240)
[05:55:30] 11710113 offset=240 → 20개 (누적 260)
[05:55:31] 11710113 offset=260 → 20개 (누적 280)
[05:55:33] 11710113 offset=280 → 20개 (누적 300)
[05:55:34] 11710113 offset=300 → 20개 (누적 320)
[05:55:36] 11710113 offset=320 → 20개 (누적 340)
[05:55:37] 11710113 offset=340 → 10개 (누적 350)
[05:55:37] 
총 수집: 5872 → 중복 제거: 1044
[05:55:37] 💾 저장 완료: data/zigbang_송파구_20260325_054803.csv
[05:55:37] ✅ 완료!
